timestamp;CH4;CO;CO2
2025-12-18T04:26:30.531000Z;13.65;1.52;549.33
2025-12-18T04:36:30.531000Z;10.2;1.16;463.27
2025-12-18T04:46:30.531000Z;22.58;2.11;501.29
2025-12-18T04:56:30.531000Z;15.95;1.14;462.55
2025-12-18T05:06:30.531000Z;23.18;0.92;423.93
2025-12-18T05:16:30.531000Z;14.28;1.94;508.73
2025-12-18T05:26:30.531000Z;20.1;0.75;476.46
2025-12-18T05:36:30.531000Z;22.93;0.97;514.41
2025-12-18T05:46:30.531000Z;24.57;1.44;400.47
2025-12-18T05:56:30.531000Z;19.22;2.36;427.92
2025-12-18T06:06:30.531000Z;21.56;1.58;407.64
2025-12-18T06:16:30.531000Z;14.24;1.96;444.81
2025-12-18T06:26:30.531000Z;13.42;1.82;483.92
2025-12-18T06:36:30.531000Z;19.5;1.1;418.43
2025-12-18T06:46:30.531000Z;20.44;1.7;475.08
2025-12-18T06:56:30.531000Z;24.05;0.24;427.76
2025-12-18T07:06:30.531000Z;18.55;1.61;520.07
2025-12-18T07:16:30.531000Z;23.98;2.21;449.23
2025-12-18T07:26:30.531000Z;12.67;1.27;532.52
2025-12-18T07:36:30.531000Z;14.57;0.73;536.36
2025-12-18T07:46:30.531000Z;16.63;1.98;514.52
2025-12-18T07:56:30.531000Z;22.64;2.31;424.42
2025-12-18T08:06:30.531000Z;13.85;2.2;429.75
2025-12-18T08:16:30.531000Z;24.13;2.24;475.78
2025-12-18T08:26:30.531000Z;13.16;2.15;458.06
2025-12-18T08:36:30.531000Z;24.25;2.01;422.12
2025-12-18T08:46:30.531000Z;17.38;0.76;548.95
2025-12-18T08:56:30.531000Z;17.23;1.89;449.66
2025-12-18T09:06:30.531000Z;12.66;0.64;484.55
2025-12-18T09:16:30.531000Z;19.25;0.64;422.09
2025-12-18T09:26:30.531000Z;11.65;2.15;496.1
2025-12-18T09:36:30.531000Z;12.28;0.64;412.06
2025-12-18T09:46:30.531000Z;23.38;1.51;429.68
2025-12-18T09:56:30.531000Z;23.52;1.27;526.27
2025-12-18T10:06:30.531000Z;12.94;0.16;527.7
2025-12-18T10:16:30.531000Z;13.86;2.17;415.15
2025-12-18T10:26:30.531000Z;16.55;1.66;509.84
2025-12-18T10:36:30.531000Z;10.35;1.98;450.24
2025-12-18T10:46:30.531000Z;23.5;0.46;404.06
2025-12-18T10:56:30.531000Z;19.93;0.64;456.45
2025-12-18T11:06:30.531000Z;13.67;1.41;503.49
2025-12-18T11:16:30.531000Z;11.76;0.18;442.48
2025-12-18T11:26:30.531000Z;11.86;0.14;508.74
2025-12-18T11:36:30.531000Z;10.37;1.97;425.93
2025-12-18T11:46:30.531000Z;12.32;2.17;546.91
2025-12-18T11:56:30.531000Z;12.16;0.33;506.59
2025-12-18T12:06:30.531000Z;18.8;0.71;402.57
2025-12-18T12:16:30.531000Z;17.02;0.91;437.76
2025-12-18T12:26:30.531000Z;11.48;1.76;530.5
2025-12-18T12:36:30.531000Z;14.47;1.42;426.57
2025-12-18T12:46:30.531000Z;11.42;2.21;442.79
2025-12-18T12:56:30.531000Z;23.02;0.23;478.64
2025-12-18T13:06:30.531000Z;24.84;2.46;538.42
2025-12-18T13:16:30.531000Z;19.88;0.14;467.43
2025-12-18T13:26:30.531000Z;12.61;0.74;502.53
2025-12-18T13:36:30.531000Z;15.62;0.27;534.26
2025-12-18T13:46:30.531000Z;13.2;1.51;424.94
2025-12-18T13:56:30.531000Z;12.92;2.09;479.14
2025-12-18T14:06:30.531000Z;18.65;0.84;445.79
2025-12-18T14:16:30.531000Z;19.75;1.89;498.76
