timestamp;CO2;N2O;CH4
2025-12-18T04:26:30.531000Z;20.13;0.21;404.69
2025-12-18T04:36:30.531000Z;10.78;0.46;414.84
2025-12-18T04:46:30.531000Z;24.05;1.42;534.49
2025-12-18T04:56:30.531000Z;12.1;1.94;500.57
2025-12-18T05:06:30.531000Z;23.08;2.44;467.75
2025-12-18T05:16:30.531000Z;18.65;1.75;468.01
2025-12-18T05:26:30.531000Z;23.5;2.27;452.02
2025-12-18T05:36:30.531000Z;11.96;2.23;547.28
2025-12-18T05:46:30.531000Z;11.75;0.23;491.24
2025-12-18T05:56:30.531000Z;11.11;0.3;436.82
2025-12-18T06:06:30.531000Z;10.27;2.19;480.69
2025-12-18T06:16:30.531000Z;19.32;0.76;522.71
2025-12-18T06:26:30.531000Z;24.85;0.16;472.9
2025-12-18T06:36:30.531000Z;19.44;1.83;481.96
2025-12-18T06:46:30.531000Z;22.51;1.46;504.09
2025-12-18T06:56:30.531000Z;22.66;1.02;438.28
2025-12-18T07:06:30.531000Z;23.77;0.22;468.78
2025-12-18T07:16:30.531000Z;16.05;1.35;444.28
2025-12-18T07:26:30.531000Z;15.79;2.46;458.93
2025-12-18T07:36:30.531000Z;15.41;1.07;436.49
2025-12-18T07:46:30.531000Z;18.63;0.46;400.24
2025-12-18T07:56:30.531000Z;15.32;0.29;466.48
2025-12-18T08:06:30.531000Z;22.57;1.38;490.12
2025-12-18T08:16:30.531000Z;19.51;1.85;439.98
2025-12-18T08:26:30.531000Z;17.68;2.45;483.69
2025-12-18T08:36:30.531000Z;22.79;1.5;447.04
2025-12-18T08:46:30.531000Z;18.9;1.62;486.49
2025-12-18T08:56:30.531000Z;23.13;0.92;480.26
2025-12-18T09:06:30.531000Z;17.85;0.49;451.05
2025-12-18T09:16:30.531000Z;23.5;0.31;446.55
2025-12-18T09:26:30.531000Z;10.41;1.84;536.41
2025-12-18T09:36:30.531000Z;10.34;1.51;445.47
2025-12-18T09:46:30.531000Z;14.08;2.14;513.62
2025-12-18T09:56:30.531000Z;22.68;1.36;436.58
2025-12-18T10:06:30.531000Z;11.9;2.05;491.15
2025-12-18T10:16:30.531000Z;15.94;2.3;421.85
2025-12-18T10:26:30.531000Z;10.85;1.13;419.14
2025-12-18T10:36:30.531000Z;21.55;0.94;423.85
2025-12-18T10:46:30.531000Z;10.47;0.83;440.97
2025-12-18T10:56:30.531000Z;15.22;0.98;458.23
2025-12-18T11:06:30.531000Z;24.04;2.37;494.38
2025-12-18T11:16:30.531000Z;21.59;0.88;497.23
2025-12-18T11:26:30.531000Z;10.3;2.44;549.78
2025-12-18T11:36:30.531000Z;22.57;0.6;484.8
2025-12-18T11:46:30.531000Z;16.91;1.51;507.43
2025-12-18T11:56:30.531000Z;12.12;0.12;461.55
2025-12-18T12:06:30.531000Z;18.58;2.21;498.49
2025-12-18T12:16:30.531000Z;16.36;2.43;418.74
2025-12-18T12:26:30.531000Z;23.02;2.36;415.43
2025-12-18T12:36:30.531000Z;19.5;0.26;482.29
2025-12-18T12:46:30.531000Z;18.48;1.84;481.81
2025-12-18T12:56:30.531000Z;13.09;2.36;460.53
2025-12-18T13:06:30.531000Z;13.53;1.81;504.98
2025-12-18T13:16:30.531000Z;10.86;0.31;430.13
2025-12-18T13:26:30.531000Z;21.47;1.64;448.47
2025-12-18T13:36:30.531000Z;21.2;1.94;544.5
2025-12-18T13:46:30.531000Z;22.16;2.07;423.11
2025-12-18T13:56:30.531000Z;18.8;2.01;496.79
2025-12-18T14:06:30.531000Z;15.0;1.67;498.18
2025-12-18T14:16:30.531000Z;17.36;0.46;488.75
2025-12-18T14:26:30.531000Z;12.82;2.3;468.36
2025-12-18T14:36:30.531000Z;22.58;1.92;448.51
2025-12-18T14:46:30.531000Z;17.76;2.29;488.39
2025-12-18T14:56:30.531000Z;19.23;2.37;426.07
2025-12-18T15:06:30.531000Z;16.54;1.2;532.28
2025-12-18T15:16:30.531000Z;23.78;0.56;494.9
2025-12-18T15:26:30.531000Z;17.59;0.57;441.95
2025-12-18T15:36:30.531000Z;16.76;0.14;519.96
2025-12-18T15:46:30.531000Z;20.74;0.57;459.54
2025-12-18T15:56:30.531000Z;19.44;1.13;510.62
2025-12-18T16:06:30.531000Z;22.05;1.98;500.06
2025-12-18T16:16:30.531000Z;17.54;1.88;528.06
2025-12-18T16:26:30.531000Z;20.69;1.92;400.45
2025-12-18T16:36:30.531000Z;23.07;2.33;424.99
2025-12-18T16:46:30.531000Z;21.71;0.59;455.95
2025-12-18T16:56:30.531000Z;21.66;1.89;537.47
2025-12-18T17:06:30.531000Z;18.1;0.74;466.77
2025-12-18T17:16:30.531000Z;22.87;1.24;427.41
2025-12-18T17:26:30.531000Z;22.57;1.6;538.37
2025-12-18T17:36:30.531000Z;13.11;1.19;400.52
2025-12-18T17:46:30.531000Z;23.03;1.64;535.67
2025-12-18T17:56:30.531000Z;22.58;2.16;544.95
2025-12-18T18:06:30.531000Z;23.03;1.35;472.36
2025-12-18T18:16:30.531000Z;22.79;1.57;416.37
