timestamp;CH4;CO;O3;Gaz Fluorés;Particules;N2O;CFH
2025-08-20T06:44:18.941Z;23.84;26.31;32.96;6.34;4.32;1.16;43.73
2025-08-20T09:44:18.941Z;23.52;24.76;12.24;33.34;17.31;38.53;47.34
2025-08-20T12:44:18.941Z;22.05;32.09;34.38;37.74;39.02;34.83;17.49
2025-08-20T15:44:18.941Z;22.0;30.22;7.04;1.83;24.95;46.09;11.82
2025-08-20T18:44:18.941Z;23.88;20.99;5.5;49.74;37.64;41.8;41.24
2025-08-20T21:44:18.941Z;21.68;4.44;11.81;14.31;19.51;9.49;38.4
2025-08-21T00:44:18.941Z;23.55;44.35;3.72;2.28;6.37;45.91;18.86
2025-08-21T03:44:18.941Z;20.08;19.65;45.2;8.93;26.17;8.17;17.76
2025-08-21T06:44:18.941Z;22.1;11.43;25.81;43.31;16.55;26.56;4.68
2025-08-21T09:44:18.941Z;21.37;3.96;48.7;38.87;23.46;33.99;27.04
2025-08-21T12:44:18.941Z;16.37;25.81;13.24;38.46;38.45;48.36;27.41
2025-08-21T15:44:18.941Z;12.12;36.02;45.29;16.61;49.87;8.3;24.7
2025-08-21T18:44:18.941Z;23.91;18.56;41.19;45.42;42.27;39.39;35.01
2025-08-21T21:44:18.941Z;13.51;46.48;19.69;41.68;23.43;11.61;30.36
2025-08-22T00:44:18.941Z;19.89;4.14;33.63;23.97;6.71;39.37;42.83
2025-08-22T03:44:18.941Z;12.34;14.62;22.67;41.72;31.13;16.5;2.55
2025-08-22T06:44:18.941Z;15.58;32.56;20.37;39.66;47.12;24.52;25.42
2025-08-22T09:44:18.941Z;22.63;24.18;24.28;47.97;10.04;1.76;39.22
2025-08-22T12:44:18.941Z;18.3;14.67;31.09;34.59;6.23;29.3;49.75
2025-08-22T15:44:18.941Z;12.99;39.1;1.08;26.13;23.03;31.34;41.17
2025-08-22T18:44:18.941Z;22.86;5.38;36.98;17.53;6.71;16.3;12.56
2025-08-22T21:44:18.941Z;18.51;42.05;26.26;31.86;26.5;23.78;19.17
2025-08-23T00:44:18.941Z;10.95;49.67;37.32;44.6;6.53;37.23;20.1
2025-08-23T03:44:18.941Z;13.03;1.99;29.19;45.45;18.12;49.83;39.89
2025-08-23T06:44:18.941Z;13.2;2.41;48.02;8.33;16.88;17.77;33.98
2025-08-23T09:44:18.941Z;10.14;43.57;7.1;19.79;42.37;49.88;25.73
2025-08-23T12:44:18.941Z;23.61;18.0;12.17;39.84;20.63;10.92;10.94
2025-08-23T15:44:18.941Z;18.04;26.93;15.53;11.68;15.27;7.2;45.34
2025-08-23T18:44:18.941Z;24.96;40.2;18.26;5.16;37.43;44.83;22.7
2025-08-23T21:44:18.941Z;19.65;47.52;32.39;39.72;3.42;24.51;19.73
2025-08-24T00:44:18.941Z;24.68;3.05;38.29;41.71;34.73;32.67;13.91
2025-08-24T03:44:18.941Z;24.66;19.71;8.2;0.82;19.86;39.43;41.28
2025-08-24T06:44:18.941Z;12.37;3.17;31.49;41.26;1.74;33.91;41.91
2025-08-24T09:44:18.941Z;14.11;42.08;1.67;41.87;15.61;8.04;22.33
2025-08-24T12:44:18.941Z;16.24;48.78;35.51;44.08;49.73;36.64;39.37
2025-08-24T15:44:18.941Z;23.06;27.1;47.12;32.05;45.08;46.93;37.68
2025-08-24T18:44:18.941Z;12.59;8.29;36.94;31.85;1.64;20.04;45.23
2025-08-24T21:44:18.941Z;22.81;39.77;23.35;41.62;30.08;10.05;13.38
2025-08-25T00:44:18.941Z;13.45;35.79;45.95;7.59;48.95;16.66;46.21
2025-08-25T03:44:18.941Z;16.4;21.71;39.45;17.4;25.09;38.05;32.0
2025-08-25T06:44:18.941Z;10.32;47.21;14.64;9.97;38.86;8.1;34.93
2025-08-25T09:44:18.941Z;16.33;13.13;26.81;20.27;13.38;29.48;11.64
2025-08-25T12:44:18.941Z;23.94;0.92;17.22;7.01;3.66;3.97;16.47
2025-08-25T15:44:18.941Z;15.15;15.71;40.53;16.38;16.13;45.26;1.86
2025-08-25T18:44:18.941Z;13.47;43.89;9.52;2.42;42.07;35.96;1.62
2025-08-25T21:44:18.941Z;24.79;30.48;1.07;39.91;45.12;43.61;24.06
2025-08-26T00:44:18.941Z;15.67;26.63;34.88;40.68;12.99;47.19;15.24
2025-08-26T03:44:18.941Z;21.55;15.36;3.68;19.86;30.95;12.52;26.51
2025-08-26T06:44:18.941Z;19.18;27.96;47.66;24.24;17.56;9.67;11.04
2025-08-26T09:44:18.941Z;22.46;5.36;8.51;4.47;49.04;24.94;9.18
2025-08-26T12:44:18.941Z;24.41;17.12;19.76;30.69;28.53;43.15;6.42
2025-08-26T15:44:18.941Z;18.1;21.53;36.82;42.16;13.27;15.34;16.84
2025-08-26T18:44:18.941Z;21.77;26.58;28.22;4.75;10.7;39.07;41.28
2025-08-26T21:44:18.941Z;16.45;7.07;17.8;20.25;49.48;9.21;17.6
2025-08-27T00:44:18.941Z;11.39;17.89;44.26;5.16;13.12;1.28;43.37
2025-08-27T03:44:18.941Z;19.87;45.9;8.83;17.4;3.4;43.18;20.34
2025-08-27T06:44:18.941Z;17.54;23.41;12.37;21.31;10.01;43.53;0.2
2025-08-27T09:44:18.941Z;20.5;47.68;41.45;5.33;33.49;28.21;48.17
2025-08-27T12:44:18.941Z;14.49;24.16;2.95;32.98;9.1;5.63;30.03
2025-08-27T15:44:18.941Z;16.19;24.3;31.07;14.63;1.53;40.2;38.83
2025-08-27T18:44:18.941Z;24.12;18.37;34.69;23.46;13.43;6.62;25.02
2025-08-27T21:44:18.941Z;15.24;30.87;2.18;28.28;20.2;48.28;2.81
2025-08-28T00:44:18.941Z;17.13;3.14;8.98;17.94;45.75;42.98;7.54
2025-08-28T03:44:18.941Z;13.68;46.76;39.15;48.72;47.71;38.89;22.57
2025-08-28T06:44:18.941Z;19.74;45.17;41.32;10.9;11.11;30.97;12.74
2025-08-28T09:44:18.941Z;12.37;20.73;0.9;12.03;35.84;4.26;9.03
2025-08-28T12:44:18.941Z;24.34;37.7;48.42;48.3;42.71;46.08;27.51
2025-08-28T15:44:18.941Z;16.69;28.15;8.73;32.23;7.15;5.6;14.95
2025-08-28T18:44:18.941Z;21.45;22.7;38.3;18.89;0.54;41.68;39.78
2025-08-28T21:44:18.941Z;11.93;38.01;40.53;10.33;18.96;18.86;47.16
2025-08-29T00:44:18.941Z;12.43;19.4;26.5;1.38;20.54;7.76;34.73
2025-08-29T03:44:18.941Z;22.27;10.87;39.25;12.14;5.75;45.36;3.62
2025-08-29T06:44:18.941Z;23.29;9.98;0.5;24.04;29.83;0.41;18.26
2025-08-29T09:44:18.941Z;14.79;49.76;5.28;35.78;12.64;29.9;45.76
2025-08-29T12:44:18.941Z;10.93;0.79;2.03;38.17;24.53;31.23;20.86
2025-08-29T15:44:18.941Z;15.1;18.1;28.78;5.64;49.13;46.09;23.94
2025-08-29T18:44:18.941Z;17.9;35.58;28.46;25.47;6.61;11.46;6.41
2025-08-29T21:44:18.941Z;10.61;34.9;9.37;41.29;49.09;22.26;5.75
2025-08-30T00:44:18.941Z;15.34;15.57;19.77;31.4;24.68;40.94;33.41
2025-08-30T03:44:18.941Z;10.29;43.21;18.06;19.78;16.62;28.92;44.59
2025-08-30T06:44:18.941Z;10.41;7.05;27.77;44.44;25.57;36.92;36.58
2025-08-30T09:44:18.941Z;17.08;41.88;40.08;5.98;4.47;40.66;4.35
2025-08-30T12:44:18.941Z;19.47;17.53;18.1;2.62;35.33;11.86;25.78
2025-08-30T15:44:18.941Z;23.95;23.49;4.82;36.77;47.19;7.09;11.64
2025-08-30T18:44:18.941Z;18.33;38.82;13.61;27.25;41.21;11.06;33.47
2025-08-30T21:44:18.941Z;18.75;10.21;42.82;42.18;25.57;33.13;43.33
2025-08-31T00:44:18.941Z;11.1;34.58;41.0;22.57;35.52;46.56;5.42
2025-08-31T03:44:18.941Z;15.32;10.45;24.14;32.2;2.21;1.37;48.45
2025-08-31T06:44:18.941Z;24.1;1.5;41.79;43.23;16.25;48.83;31.54
2025-08-31T09:44:18.941Z;13.22;9.24;45.88;46.99;41.97;23.44;25.01
2025-08-31T12:44:18.941Z;13.88;15.35;0.05;5.34;19.83;24.55;36.31
2025-08-31T15:44:18.941Z;22.64;25.94;28.24;49.51;33.09;27.79;34.36
2025-08-31T18:44:18.941Z;12.34;8.13;24.61;39.25;22.13;21.05;36.26
2025-08-31T21:44:18.941Z;10.97;43.72;46.85;43.69;30.8;16.42;17.75
2025-09-01T00:44:18.941Z;17.38;29.74;22.18;32.78;47.37;21.56;2.44
2025-09-01T03:44:18.941Z;22.38;11.05;11.17;2.59;42.67;39.06;36.23
2025-09-01T06:44:18.941Z;15.76;39.8;12.34;42.29;41.88;37.58;7.37
2025-09-01T09:44:18.941Z;16.86;16.15;8.7;15.65;16.93;38.24;24.16
2025-09-01T12:44:18.941Z;14.79;7.94;4.41;40.59;20.96;22.21;11.36
2025-09-01T15:44:18.941Z;18.92;6.27;2.32;32.63;42.16;11.31;3.64
2025-09-01T18:44:18.941Z;20.11;34.36;49.19;49.68;3.21;40.8;46.13
2025-09-01T21:44:18.941Z;12.45;28.74;45.09;12.37;4.15;16.62;2.64
2025-09-02T00:44:18.941Z;10.77;26.05;30.46;6.88;29.03;9.8;10.27
2025-09-02T03:44:18.941Z;16.54;6.7;20.76;38.13;26.88;7.61;17.47
2025-09-02T06:44:18.941Z;11.28;16.34;47.26;37.15;1.5;0.43;4.19
2025-09-02T09:44:18.941Z;15.77;17.25;11.51;24.36;14.34;25.17;11.46
2025-09-02T12:44:18.941Z;15.15;28.46;39.64;28.45;26.37;37.31;23.23
2025-09-02T15:44:18.941Z;13.96;7.7;14.81;26.56;32.03;47.9;3.31
2025-09-02T18:44:18.941Z;13.87;36.08;0.23;39.87;44.08;36.57;9.3
2025-09-02T21:44:18.941Z;13.28;32.46;20.97;36.69;49.82;17.25;15.55
2025-09-03T00:44:18.941Z;14.48;8.59;43.97;13.41;1.87;27.73;4.2
2025-09-03T03:44:18.941Z;15.27;43.21;7.66;4.82;49.73;12.19;42.49
2025-09-03T06:44:18.941Z;18.64;8.89;32.22;21.17;13.89;37.34;18.53
2025-09-03T09:44:18.941Z;19.16;25.06;21.02;42.36;6.01;30.29;19.87
2025-09-03T12:44:18.941Z;13.46;30.59;41.77;28.39;37.63;34.97;31.51
2025-09-03T15:44:18.941Z;10.29;29.33;26.38;38.11;3.94;4.32;17.76
2025-09-03T18:44:18.941Z;11.36;32.5;10.22;13.84;32.56;16.41;5.62
2025-09-03T21:44:18.941Z;17.07;4.06;47.72;7.94;32.74;40.53;21.11
2025-09-04T00:44:18.941Z;13.31;28.95;46.25;37.79;46.25;35.89;35.8
2025-09-04T03:44:18.941Z;15.93;48.98;18.11;34.29;21.74;16.14;42.51
2025-09-04T06:44:18.941Z;15.34;31.56;16.06;27.7;18.38;1.56;18.67
2025-09-04T09:44:18.941Z;10.77;3.26;9.1;5.79;48.02;47.63;7.19
2025-09-04T12:44:18.941Z;22.23;49.15;19.52;20.25;17.26;1.39;25.93
2025-09-04T15:44:18.941Z;16.28;48.33;8.11;39.88;32.92;43.72;28.72
2025-09-04T18:44:18.941Z;19.59;8.97;3.93;30.51;15.2;16.34;35.5
2025-09-04T21:44:18.941Z;17.99;40.0;3.69;45.8;25.52;20.04;42.85
2025-09-05T00:44:18.941Z;21.38;12.18;43.12;1.75;26.48;43.59;14.92
2025-09-05T03:44:18.941Z;10.27;49.92;48.85;44.48;13.84;21.47;7.09
2025-09-05T06:44:18.941Z;12.78;29.67;34.49;21.54;41.33;1.29;22.54
2025-09-05T09:44:18.941Z;16.04;26.53;48.85;30.06;23.43;46.31;11.07
2025-09-05T12:44:18.941Z;18.58;9.1;7.7;0.12;42.11;42.19;4.93
2025-09-05T15:44:18.941Z;10.29;24.2;20.79;42.08;16.6;8.12;13.98
2025-09-05T18:44:18.941Z;18.18;4.49;24.07;27.69;13.16;24.37;18.46
2025-09-05T21:44:18.941Z;18.23;19.52;28.9;45.26;17.48;28.35;23.53
2025-09-06T00:44:18.941Z;15.93;6.51;40.6;22.84;33.79;6.22;18.55
2025-09-06T03:44:18.941Z;11.1;16.17;27.12;27.53;31.21;10.44;35.22
2025-09-06T06:44:18.941Z;21.11;20.06;26.84;26.17;45.45;4.09;34.97
2025-09-06T09:44:18.941Z;16.92;15.21;4.46;12.02;28.7;44.57;17.22
2025-09-06T12:44:18.941Z;20.18;14.44;22.71;41.45;18.41;2.1;24.45
2025-09-06T15:44:18.941Z;17.08;20.14;28.15;14.93;4.07;22.54;36.18
2025-09-06T18:44:18.941Z;22.87;16.12;23.72;7.03;17.14;40.76;4.89
2025-09-06T21:44:18.941Z;22.57;13.67;29.83;41.15;41.85;28.1;37.34
2025-09-07T00:44:18.941Z;15.29;2.3;34.15;32.44;23.51;16.62;0.76
2025-09-07T03:44:18.941Z;17.35;25.55;7.48;35.45;39.25;40.19;47.5
2025-09-07T06:44:18.941Z;20.79;14.81;20.8;43.43;46.9;5.04;11.93
2025-09-07T09:44:18.941Z;12.59;7.61;41.67;4.88;27.9;49.49;48.17
2025-09-07T12:44:18.941Z;23.48;17.85;44.84;41.57;16.44;36.04;26.52
2025-09-07T15:44:18.941Z;16.95;17.53;32.65;38.07;25.55;28.4;20.06
2025-09-07T18:44:18.941Z;19.14;37.27;8.38;49.92;46.23;14.61;25.71
2025-09-07T21:44:18.941Z;10.37;1.84;25.91;14.7;29.16;8.7;44.45
2025-09-08T00:44:18.941Z;23.23;40.17;35.86;10.28;13.04;24.54;32.86
2025-09-08T03:44:18.941Z;17.24;36.52;31.68;49.19;0.15;48.85;4.95
2025-09-08T06:44:18.941Z;20.63;43.9;0.92;1.84;19.02;26.61;31.26
2025-09-08T09:44:18.941Z;14.45;21.01;13.39;38.93;33.14;20.55;23.41
2025-09-08T12:44:18.941Z;15.25;8.82;45.25;4.05;38.41;33.9;11.47
2025-09-08T15:44:18.941Z;20.28;49.06;30.17;6.76;15.22;34.88;28.77
2025-09-08T18:44:18.941Z;12.4;34.03;5.18;30.49;48.39;23.7;19.17
2025-09-08T21:44:18.941Z;21.89;2.35;10.75;41.2;10.35;42.97;22.76
2025-09-09T00:44:18.941Z;15.75;28.68;43.71;38.67;6.2;49.43;17.19
2025-09-09T03:44:18.941Z;12.19;5.39;41.35;32.58;7.59;34.65;3.19
2025-09-09T06:44:18.941Z;20.95;26.2;2.92;25.32;19.9;22.57;3.51
2025-09-09T09:44:18.941Z;19.21;12.97;5.52;44.58;30.14;7.79;45.14
2025-09-09T12:44:18.941Z;21.19;19.75;16.4;26.2;31.31;14.32;42.37
2025-09-09T15:44:18.941Z;23.58;18.22;16.17;23.35;36.49;37.89;12.06
